TEAM_ID,MODE,STATE,TEMPERATURE,ALTITUDE,PRESSURE,VOLTAGE
ULGAN,CALIBRATION,DESCENDING,15.88,490.19,991.89,6.99
ULGAN,DEBUG,LANDED,25.66,41.29,968.33,6.72
ULGAN,TEST,DESCENDING,14.22,7.86,967.0,6.13
ULGAN,TEST,LANDED,-2.06,847.66,923.69,8.64
ULGAN,DEBUG,LANDED,30.95,116.79,1021.71,7.52
ULGAN,DEBUG,LANDED,5.68,76.29,922.51,7.7
ULGAN,DEBUG,DESCENDING,37.07,740.14,991.09,5.0
ULGAN,DEBUG,LANDED,37.05,1091.46,1045.97,5.87
ULGAN,TEST,DESCENDING,-1.98,681.07,948.19,8.37
ULGAN,CALIBRATION,IDLE,3.54,73.59,969.51,5.77
ULGAN,FLIGHT,ASCENDING,30.43,1226.12,959.1,8.05
ULGAN,DEBUG,LANDED,4.27,1319.51,1033.91,8.35
ULGAN,TEST,DESCENDING,23.52,489.24,963.14,8.81
ULGAN,DEBUG,LANDED,29.36,297.41,1011.21,7.18
ULGAN,DEBUG,LANDED,28.18,515.61,1017.13,5.74
ULGAN,TEST,IDLE,7.83,344.37,930.19,4.98
ULGAN,TEST,RECOVERED,-9.09,291.75,993.66,7.42
ULGAN,DEBUG,IDLE,35.1,369.37,935.53,3.99
ULGAN,DEBUG,ASCENDING,21.29,1389.72,925.11,4.05
ULGAN,CALIBRATION,ASCENDING,-8.94,198.52,1027.43,3.09
ULGAN,FLIGHT,RECOVERED,-8.34,945.2,928.69,3.45
ULGAN,DEBUG,ASCENDING,35.38,1141.22,982.19,3.7
ULGAN,DEBUG,IDLE,19.58,1486.77,1024.85,8.45
ULGAN,DEBUG,IDLE,38.24,1009.21,943.22,6.11
ULGAN,TEST,IDLE,5.71,874.2,1000.57,8.57
ULGAN,CALIBRATION,DESCENDING,16.23,469.82,1015.83,7.23
ULGAN,TEST,ASCENDING,7.96,1304.19,1016.53,6.22
ULGAN,FLIGHT,IDLE,18.73,276.45,951.34,6.31
ULGAN,CALIBRATION,DESCENDING,31.07,965.05,925.6,4.56
ULGAN,CALIBRATION,DESCENDING,17.39,952.29,1028.84,3.38
ULGAN,DEBUG,LANDED,26.72,1136.31,903.82,7.36
ULGAN,DEBUG,ASCENDING,37.61,883.95,933.72,4.54
ULGAN,FLIGHT,LANDED,13.49,488.49,1018.23,8.89
ULGAN,TEST,RECOVERED,8.17,830.81,999.64,6.81
ULGAN,FLIGHT,DESCENDING,26.04,177.96,937.08,4.36
ULGAN,CALIBRATION,LANDED,5.1,1137.43,955.36,4.74
ULGAN,DEBUG,LANDED,4.31,1112.87,972.72,5.83
ULGAN,FLIGHT,IDLE,-7.79,455.21,1036.14,8.29
ULGAN,FLIGHT,RECOVERED,7.98,408.95,963.56,4.56
ULGAN,CALIBRATION,IDLE,8.29,560.32,1005.28,6.26
ULGAN,TEST,ASCENDING,23.77,601.81,1019.22,4.47
ULGAN,TEST,DESCENDING,6.79,1297.98,955.38,5.68
ULGAN,CALIBRATION,LANDED,-1.37,979.88,936.0,3.93
ULGAN,DEBUG,DESCENDING,12.41,489.92,903.76,7.78
ULGAN,CALIBRATION,RECOVERED,33.65,530.04,986.7,7.74
ULGAN,CALIBRATION,IDLE,38.24,851.79,1013.2,5.42
ULGAN,DEBUG,RECOVERED,-0.01,741.16,947.47,6.98
ULGAN,CALIBRATION,DESCENDING,4.95,1106.55,964.49,8.96
ULGAN,DEBUG,IDLE,17.47,1057.77,911.85,6.44
ULGAN,CALIBRATION,DESCENDING,20.82,108.95,978.56,4.67
ULGAN,TEST,DESCENDING,19.4,680.91,979.53,3.11
ULGAN,FLIGHT,RECOVERED,37.82,89.15,927.3,6.5
ULGAN,CALIBRATION,LANDED,25.42,1028.17,993.92,5.39
ULGAN,DEBUG,IDLE,38.85,550.76,944.28,3.83
ULGAN,TEST,DESCENDING,13.22,353.26,941.71,4.31
ULGAN,DEBUG,LANDED,21.44,384.16,969.04,6.82
ULGAN,FLIGHT,IDLE,8.99,828.73,979.34,6.71
ULGAN,TEST,RECOVERED,-0.89,977.74,909.22,5.42
ULGAN,TEST,LANDED,10.14,598.39,965.06,3.47
